codigo,descripcion,capacidad,nombreEdificio
A101,Aula con asientos cómodos,50,Edificio C
B201,Aula amplia con proyector,40,Edificio D
C301,Sala de conferencias,30,Edificio E
D401,Aula para clases teóricas,60,Edificio F
AULA404,Laboratorio de computación,32,Edificio F
AULA970,Aula equipada para videoconferencias,49,Edificio H
AULA549,Aula amplia con proyector,42,Edificio H
AULA789,Laboratorio de química,32,Edificio F
AULA941,Sala de conferencias,41,Edificio E
AULA719,Aula amplia con proyector,22,Edificio E
AULA378,Laboratorio de química,20,Edificio H
AULA898,Aula equipada para videoconferencias,35,Edificio I
AULA484,Laboratorio de química,33,Edificio J
AULA412,Sala de conferencias,38,Edificio G
AULA813,Aula amplia con proyector,32,Edificio F
AULA776,Laboratorio de química,47,Edificio I
AULA447,Aula para clases teóricas,39,Edificio I
AULA207,Aula para clases teóricas,48,Edificio J
AULA604,Aula con sistema de sonido,45,Edificio H
AULA378,Aula con asientos cómodos,38,Edificio F
