Asignatura,Grupo,Cantidad
22948,H5,15
22948,E6,18
22948,P4,18
22951,V5,16
22951,W2,30
22951,W5,16
22954,J5,27
22954,G4,21
22954,D6,23
22955,J9,24
22955,E2,23
22955,G9,15
22958,S1,22
22958,B1,15
22958,G3,27
22959,E6,24
22959,P3,25
22959,X6,18
22960,V9,30
22960,U2,28
22960,A7,19
22961,A9,27
22961,R5,23
22961,G3,26
22965,Q5,23
22965,X5,17
22965,Q2,16
22966,D6,26
22966,L9,17
22966,Q2,28
22967,B2,27
22967,U9,16
22967,K1,28
22968,H8,26
22968,R5,27
22968,I9,21
22969,H1,21
22969,P7,29
22969,L1,16
22970,E2,24
22970,W1,19
22970,N1,25
22971,O6,18
22971,L7,16
22971,P5,25
22972,X8,25
22972,Y1,25
22972,V9,18
22973,U5,20
22973,I9,19
22973,T8,27
22974,Y6,22
22974,T1,21
22974,P5,18
